DATE,TIME,AM/PM,DATA
7/2/2019,3:45:00,PM,16.91
7/2/2019,4:00:00,PM,18.24
7/2/2019,4:15:00,PM,18.2
7/2/2019,4:30:00,PM,18.5
7/2/2019,4:45:00,PM,18.03
7/2/2019,5:00:00,PM,14.76
7/2/2019,5:15:00,PM,16.28
7/2/2019,5:30:00,PM,16.11
7/2/2019,5:45:00,PM,16.01
7/2/2019,6:00:00,PM,16.33
7/2/2019,6:15:00,PM,15.19
7/2/2019,6:30:00,PM,15.26
7/2/2019,6:45:00,PM,15.97
7/2/2019,7:00:00,PM,19.88
7/2/2019,7:15:00,PM,18.89
7/2/2019,7:30:00,PM,19.38
7/2/2019,7:45:00,PM,14.94
7/2/2019,8:00:00,PM,14.69
7/2/2019,8:15:00,PM,15.99
7/2/2019,8:30:00,PM,20.88
7/2/2019,8:45:00,PM,17.29
7/2/2019,9:00:00,PM,22.7
7/2/2019,9:15:00,PM,19.6
7/2/2019,9:30:00,PM,22.41
7/2/2019,9:45:00,PM,24.26
7/2/2019,10:00:00,PM,19.52
7/2/2019,10:15:00,PM,21.65
7/2/2019,10:30:00,PM,23.2
7/2/2019,10:45:00,PM,25.01
7/2/2019,11:00:00,PM,21.73
7/2/2019,11:15:00,PM,21.82
7/2/2019,11:30:00,PM,30.72
7/2/2019,11:45:00,PM,25.47
7/3/2019,12:00:00,AM,26.27
7/3/2019,12:15:00,AM,22.16
7/3/2019,12:30:00,AM,23.13
7/3/2019,12:45:00,AM,23.2
7/3/2019,1:00:00,AM,26.59
7/3/2019,1:15:00,AM,22.95
7/3/2019,1:30:00,AM,25.52
7/3/2019,1:45:00,AM,21.91
7/3/2019,2:00:00,AM,21.99
7/3/2019,2:15:00,AM,21.59
7/3/2019,2:30:00,AM,25.64
7/3/2019,2:45:00,AM,24.17
7/3/2019,3:00:00,AM,24.8
7/3/2019,3:15:00,AM,21.44
7/3/2019,3:30:00,AM,21.36
7/3/2019,3:45:00,AM,21.55
7/3/2019,4:00:00,AM,23.56
7/3/2019,4:15:00,AM,9.98
7/3/2019,4:30:00,AM,22.5
7/3/2019,4:45:00,AM,20.65
7/3/2019,5:00:00,AM,23.98
7/3/2019,5:15:00,AM,23.28
7/3/2019,5:30:00,AM,19.01
7/3/2019,5:45:00,AM,31.46
7/3/2019,6:00:00,AM,33.12
7/3/2019,6:15:00,AM,7.76
7/3/2019,6:30:00,AM,1.29
7/3/2019,6:45:00,AM,1.66
7/3/2019,7:00:00,AM,110.89
7/3/2019,7:15:00,AM,72.41
7/3/2019,7:30:00,AM,22.76
7/3/2019,7:45:00,AM,22.75
7/3/2019,8:00:00,AM,22.07
7/3/2019,8:15:00,AM,22.37
7/3/2019,8:30:00,AM,22.77
7/3/2019,8:45:00,AM,22.49
7/3/2019,9:00:00,AM,21.99
7/3/2019,9:15:00,AM,21.72
7/3/2019,9:30:00,AM,24.67
7/3/2019,9:45:00,AM,22.7
7/3/2019,10:00:00,AM,26.61
7/3/2019,10:15:00,AM,25.1
7/3/2019,10:30:00,AM,26.22
7/3/2019,10:45:00,AM,22.63
7/3/2019,11:00:00,AM,21.48
7/3/2019,11:15:00,AM,21.68
7/3/2019,11:30:00,AM,24.92
7/3/2019,11:45:00,AM,13.09
7/3/2019,12:00:00,PM,25.52
7/3/2019,12:15:00,PM,22.4
7/3/2019,12:30:00,PM,28.55
7/3/2019,12:45:00,PM,27.03
7/3/2019,1:00:00,PM,21.79
7/3/2019,1:15:00,PM,23.89
7/3/2019,1:30:00,PM,24.23
7/3/2019,1:45:00,PM,27.45
7/3/2019,2:00:00,PM,23.39
7/3/2019,2:15:00,PM,27.08
